500,176,206,183,112,160,209,210,212,0,310,104,104
600,253,430,208,104,208,104,208,136,66,417,182,95
700,292,402,325,157,221,218,299,255,108,727,287,147
800,406,474,401,184,221,224,432,224,111,832,372,136
900,396,544,417,104,317,209,208,247,208,418,208,220
1000,406,584,420,208,311,312,312,208,212,525,422,208
1100,637,447,521,312,314,209,761,283,104,579,484,211
1200,456,539,799,211,422,212,417,416,210,833,286,208
1300,671,692,625,416,315,392,425,521,312,891,642,283
1400,703,680,710,351,419,443,893,581,235,1217,947,275
1500,1106,1113,691,319,604,431,780,611,241,1387,837,259
1600,833,1095,1597,523,710,580,1125,683,276,1303,614,262
1700,1341,1094,713,576,416,416,527,524,339,1042,774,313
1800,866,1006,917,530,634,565,692,1105,531,1219,772,455
1900,836,1028,1011,542,523,417,690,655,288,1295,728,312
2000,1177,881,837,417,548,426,639,688,314,975,737,305
2100,1040,1131,938,582,732,416,914,520,422,1179,835,312
2200,1127,1164,938,524,626,487,940,625,416,1294,895,208
2300,990,1309,1043,521,729,317,741,657,426,1256,912,450
2400,977,1044,957,521,523,520,937,690,417,1581,942,270
2500,995,1355,1212,732,835,416,884,839,520,1666,1056,417
2600,1088,1257,1098,729,734,629,1040,731,521,1703,1164,629
2700,1318,1561,1145,729,1057,579,1178,729,717,1898,1231,416
2800,1335,1536,941,625,730,625,1274,1041,416,1784,1251,522
2900,1346,1458,1251,733,976,730,1219,988,625,2040,1354,521
3000,1566,1464,1250,527,1160,734,1261,1004,627,2192,1462,625
3100,1415,1355,1149,874,1034,626,1424,1049,624,2505,1498,744
3200,1416,1474,1248,738,938,729,1453,1146,520,2633,1677,610
3300,1556,1564,1493,836,1146,917,1190,833,690,1464,1230,591
3400,1605,1672,1383,937,1044,824,1151,1044,829,1767,1366,634
3500,1517,1725,1515,941,1047,939,1146,1253,625,1771,1262,729
3600,1562,1577,1824,994,1043,660,1323,1154,598,1954,1359,729
3700,1524,1918,1634,1044,1146,947,1254,1147,833,1935,2232,1305
3800,1676,1828,1686,1049,1148,929,1095,1250,631,2055,1392,788
3900,1592,2176,1670,940,1251,1043,1366,1284,799,1994,1373,841
4000,1673,2261,1841,1112,1493,1199,1407,1236,626,2154,1564,744
4100,1913,2050,1829,1046,1231,952,1504,1202,833,2371,1781,924
