8700,4054,4389,3870,2405,3087,2047,3325,3050,1980,5096,3616,1933
8800,3864,5020,3931,2433,2840,2247,3385,3129,1782,5248,3939,1733
8900,3351,4213,3613,2593,3050,1985,3555,3191,2030,5460,4053,1912
9000,4053,4598,3976,2502,2851,2297,3580,3105,1986,5727,3907,2092
9100,4256,4571,3968,2618,2819,2474,3476,3277,2061,5681,3863,1875
9200,3557,4263,3699,2447,2761,2144,3555,3137,1984,5437,3915,1888
9300,4224,4743,4144,2703,4157,2479,3666,3432,2101,5877,4230,2103
9400,4234,4785,4148,2323,3253,2408,3695,3442,2158,6107,4156,2100
9500,4065,4880,4419,2558,3137,2458,3979,3513,2014,5792,4079,2087
9600,4283,5193,4413,2528,3124,2607,3972,3487,2090,6034,4357,2106
9700,4293,5014,4370,2502,3047,2231,3802,3390,2100,6428,4593,2200
9800,4285,5048,4358,2736,3257,2709,4022,3565,2295,6376,4383,1999
9900,4290,5382,4528,2525,3057,2402,4234,3539,2416,6491,4623,2250
10000,4388,5007,4606,2946,3354,2541,4286,3730,2226,6593,4658,2306
